id,region,year,all_providers,resients_per_provider,all_pc_providers,residents_per_pc_provier,all_ps,all_pc_ps,all_nps,all_pc_nps,all_pas,all_pc_pas,population
1,Alabama,2013,9488,509.4563659,4061,1190.278749,7925,3140,1239,806,324,115,4833722
2,Alaska,2013,1997,368.1181773,1036,709.5868726,1434,662,295,192,268,182,735132
3,Arizona,2013,14446,458.7168766,5931,1117.286124,11265,4180,1782,1065,1401,686,6626624
4,Arkansas,2013,5469,541.1177546,2523,1172.957987,4474,1868,842,581,153,74,2959373
5,California,2013,75850,505.3727225,31896,1201.797122,65703,25622,5176,3527,4974,2747,38332521
6,Colorado,2013,12411,424.4917412,5237,1005.989498,9661,3655,1219,765,1532,817,5268367
7,Connecticut,2013,10876,330.643619,4190,858.2529833,8901,3214,1164,641,814,335,3596080
8,Delaware,2013,2413,383.6506424,1013,913.8687068,1916,778,320,171,176,64,925749
9,District Of Columbia,2013,2708,238.7182422,843,766.8434164,2419,704,189,102,99,37,646449
10,Florida,2013,45599,428.800193,18496,1057.139922,37130,14258,4977,2926,3494,1312,19552860
11,Georgia,2013,20434,488.9971127,8695,1149.185394,15987,6408,2413,1562,2034,725,9992167
12,Hawaii,2013,2907,482.9907121,1263,1111.68171,2628,1105,167,108,112,50,1404054
13,Idaho,2013,3603,447.4426867,1657,972.9245625,2560,1045,489,305,555,307,1612136
14,Illinois,2013,27755,464.1374527,12144,1060.781868,23892,9950,2254,1463,1611,731,12882135
15,Indiana,2013,14789,444.3100953,6329,1038.221204,12160,4813,2120,1324,508,192,6570902
16,Iowa,2013,6601,468.173913,3231,956.4890127,4939,2186,1002,653,661,392,3090416
17,Kansas,2013,6571,440.4134835,3025,956.68,4956,2116,941,573,675,336,2893957
18,Kentucky,2013,10494,418.8388603,4690,937.163113,7965,3146,1891,1234,638,310,4395295
19,Louisiana,2013,10323,448.0742032,4279,1080.969853,8472,3201,1380,912,471,166,4625470
20,Maine,2013,4010,331.2473815,1900,699.1063158,2969,1273,665,428,379,199,1328302
21,Maryland,2013,14960,396.3110963,6016,985.5076463,12682,4795,1274,795,1004,426,5928814
22,Massachusetts,2013,21217,315.4462931,8769,763.2368571,17554,6710,2713,1687,951,372,6692824
23,Michigan,2013,23403,422.8356194,10418,949.8581302,19619,8280,1755,1104,2034,1034,9895622
24,Minnesota,2013,12857,421.5897954,5666,956.6501941,10369,4255,1409,862,1080,549,5420380
25,Mississippi,2013,5974,500.7042183,2887,1036.095255,4489,1821,1412,1046,76,20,2991207
26,Missouri,2013,14463,417.9057595,6053,998.5413844,11892,4488,2142,1397,429,168,6044171
27,Montana,2013,2488,408.0245177,1183,858.1276416,1846,766,334,245,308,172,1015165
28,Nebraska,2013,4889,382.1877685,2171,860.6706587,3573,1434,621,341,695,396,1868516
29,Nevada,2013,4895,569.9971399,1945,1434.517224,4007,1446,435,272,453,227,2790136
30,New Hampshire,2013,3651,362.4921939,1615,819.479257,2765,1115,552,362,335,138,1323459
31,New Jersey,2013,22068,403.2689415,8795,1011.863445,19495,7562,1657,902,916,331,8899339
32,New Mexico,2013,4227,493.3255264,1954,1067.188843,3284,1346,585,407,359,201,2085287
33,New York,2013,54893,357.9896708,21408,917.9338098,45714,16674,5086,2892,4095,1842,19651127
34,North Carolina,2013,22958,428.9598397,10123,972.8400672,17400,7080,2524,1658,3038,1385,9848060
35,North Dakota,2013,1841,392.934818,828,873.6630435,1342,518,317,204,181,106,723393
36,Ohio,2013,26873,430.5737357,10860,1065.451934,22984,8875,2877,1627,1013,358,11570808
37,Oklahoma,2013,7492,513.9572878,3347,1150.45354,6039,2499,606,436,847,412,3850568
38,Oregon,2013,9534,412.2157541,4190,937.9630072,7620,3120,1081,702,835,368,3930065
39,Pennsylvania,2013,34803,367.0316065,13773,927.4523343,28498,10533,3137,1836,3170,1404,12773801
40,Rhode Island,2013,3018,348.4131875,1197,878.4553049,2542,974,318,165,158,58,1051511
41,South Carolina,2013,10228,466.8399492,4417,1081.014037,8382,3353,1137,753,712,311,4774839
42,South Dakota,2013,2149,393.1489065,980,862.1193878,1510,602,284,169,356,209,844877
43,Tennessee,2013,16418,395.6619564,7305,889.250924,12234,4721,3327,2164,856,420,6495978
44,Texas,2013,48196,548.7632376,20801,1271.486611,39789,15457,4722,3276,3688,2068,26448193
45,Utah,2013,6237,465.1069424,2475,1172.069495,4772,1731,751,414,715,330,2900872
46,Vermont,2013,1873,334.5595302,880,712.0795455,1464,628,232,156,179,96,626630
47,Virginia,2013,18421,448.4232669,8134,1015.540325,14835,6188,2258,1490,1330,456,8260405
48,Washington,2013,16857,413.5614878,7228,964.5,13426,5387,1906,1154,1528,687,6971406
49,West Virginia,2013,4641,399.5483732,2127,871.7931359,3491,1429,572,388,579,310,1854304
50,Wisconsin,2013,13842,414.8759572,5766,995.961325,11073,4418,1614,879,1156,469,5742713
51,Wyoming,2013,1296,449.5817901,638,913.2570533,940,411,185,133,173,94,582658
